,review,label
62, 29.07.2024: Sorunsuz ,pozitif
63, 29.07.2024: Sorunsuz ,pozitif
64, 16.07.2024: fiyat performans cihazı ,pozitif
65, 16.07.2024: hızlı kargo ürün güzel ,pozitif
66, 08.06.2024: gayet başarılı ,pozitif
67, 21.03.2024: ürün beklediğimiz performansı karşılıyor. önceki kullandığımız notebook çok ağırdı portatif derecede hafif. ,pozitif
68, 06.03.2024: Lenovo leptop aldım kusurlu yollandı iade için yolladım kutusu açildiği için iade kabul edılmemiş bu mağazan ürün alacaksanız kutuyu açmadan içindeki çihazin kusursuz oldugu bilecek kadar ermiş değilseniz bence ürün almayın kutuyu açinca ürünü satın alma şarti koyulabilir bilginize,negatif
69,22.09.2024: Ürünü alırken aklımda sadece ölü piksel çıkar mı çıkmaz mı vardı ancak ürün kapalı kutu tek bir sorunu bile yok kesinlikle tavsiye ediyorum bu fiyata bu özelliklerde zor bulunur. ,pozitif
70," 21.09.2024: Belirtilen özelliklerde, sonraki gün kapımdaydı hızlı kargo ve güvenilir firma ben yaptığım alışverişten memnun oldum herkese tavsiye ederim. ",pozitif
71, 20.09.2024: ürün f/p ürünü. 25k alabileceğimin en iyisi. güzel paketleme yapılmış hızlı geldi. ,pozitif
72, 19.09.2024: Fiyat performans ,pozitif
73, 11.09.2024: Ürün bu fiyata gerçekten bedava 5 gündür kullanıyorum ve herhangi bir sıkıntı yaşamadım herkese tavsiye ederim ,pozitif
74, 10.09.2024: teslim alıp hemen ram 16+16 ram yükseltmesi yaptım. win11 kurulumu gerçeklestirdim. ilk işim ölü pixsel testi yapmak oldu. her şey güzel ölü pixel çıkmadı. çok beğendim. ,pozitif
75," 10.09.2024: kargolandıktan 1 gün sonra elime ulaştı. Herhangi bir kusur yok.(Kutu hasarı, ölü piksel, eksik fatura vs) laptop iyi ram yükseltmesi yapmanız şart 8gb ram güncel kullanımda yetmez. ",nötr
76," 09.09.2024: henüz w11 kurmadım. ölü piksel varmi yokmu daha bakamadim , olsada iade edesim yok bahtıma ne çıkarsa artik. youtube da 8 gb ram yetersiz diyorlar bencede doğru 16 yada 32 yaparsam güzel olur .. satin aldim 2 gün icinde ulaştı satıcıya teşekkürler . klavye çok tatli ışık olayi da mukemmel kapağını tek el ile kaldir indir cok rahat zor açılmıyor kapağı. ağırlık 2kg güzel sessiz ama daha kurulum yapmadim kurulum yapinca nasil olur bilemem . hakk a girmeyelim . ",nötr
77, 08.09.2024: laptop güzel tavsiye ederim ,pozitif
78, 08.09.2024: Ekranda yatay çizgiler var ancak sadece renkli tonlarda var siyah renginde yok en yakın zamanda iade edeceğim. Bu firma beni oldukça masraf yaptırdı böyle sorumsuz bir şekilde ayıplı ürün göndererek. ,negatif
79," 07.09.2024: Üründe ölü pixel çıktı, satıcı asus servise yönlendirdiği ve uğraşmak istemediğim için 16gb ram eki yapıp kullanmaya karar verdim. Onun dışında ürün güzel ve rahat. Ölü pixel testi yapmayı es geçmeyin. ",nötr
80," 12.08.2024: kapalı kutu, hızlı kargo. teşekkürler. ",pozitif
81," 08.08.2024: Laptop güzel tek dezavantajı 8 gb ram le geliyor olması, en az +8 benim tavsiyem +16 ram ekleyip oyunları öyle oynamanız, aksi halde yeterli performansı alamazsınız, Laptop ısınma sorununuda G - Helper yazılımından çözebilirsiniz. işlemciye limitlendirme yaparak. Onun haricinde mükemmel laptop, güvenilir satıcı. ",pozitif
82, 08.08.2024: Kasa kalitesi gayet iyi. Isınma sorunu yaşamadım. Tavsiye edilir ,pozitif
83," 07.08.2024: Cihaztv tavsiyesi üzerine aldım. Laptop yeni çıkan oyunları orta yüksek grafiklerde 60+ fps ile oynamak için yeterli. Cs2, valorant 150-200 alınıyor 8gb ram ile. 8gb ram daha eklemeyi düşünüyorum. Tavsiye ederim. ",pozitif
84, 07.08.2024: İyi ,pozitif
85, 06.08.2024: 👍🏼 ,pozitif
86, 06.08.2024: 👍🏼 ,pozitif
87, 03.08.2024: gerek tasarimiyla gerek verdigi performansla cok begendim. tam oyun bilgisayarı. fiyat performans anlaminda gayet iyi. yalniz begenmedigim tek sey hoparlör. oyunlarda yeterli bi hoparlor ama normal muzik dinlerken bass ve tizlerini begenmedim. ,pozitif
88, 03.08.2024: Ürünü çok beğendim. Çoğu yüksek grafikli yeni çıkmış oyunları akıcı bir şekilde yüksej grafiklerde oynatıyor. Tek sıkıntısı fanlar turbo moduna geçince sesi çok çıkıyor. ,pozitif
89, 01.08.2024: gayet güzel ,pozitif
90," 30.07.2024: Açıkçası cihaz ısınıyor fakat donma kasma gibi sorunları yok, oyunlarda akıyor. Ekranın altından gelen ve akşam karanlıkta daha çok belli olan ışık sızması var. Fakat ıps panellerin hepsinde olduğu için iade etmiyorum. Cihazın performansını beğendim. Gta 5 te full ayarlarda 120fps üstünü veriyor, 160 fps gördüğümde oldu. Dış tasarım ve sağlamlık olarak iyi duruyor. Fakat kesinlikle ram takviyesi gerekli. 8gb ram takarak 16gb ram yaptım cihaz şuan çok daha iyi oldu. Alacak olanlara tavs. ederim. ",pozitif
91, 11.07.2024: kurulumunu yaptık sağlam ve hızlı çalışıyor pubgde 75 derecelerde ve fan sesi rahatsız etmiyor 8gb daha ram eklemesi yaptık kesinlikle en az 16gb olması gerekiyor kesinlikle öneririm ama ram takviyesi gerekiyor asus kalitesi tartışılmaz satıcı da hızlı kargoladı ,pozitif
92, 02.07.2024: çok memnun kaldim kargo 1gun de geldi bilgisayar saglam herhangi bir sorun yok sadece Laptop biraz isiniyor ve sarji cok uzun sure dayanmiyor 3 4 saat gidiyor ama nihayetinde bu bir oyuncu bilgisayari oldugu icin zaten fise takili kullanmak gerek :),pozitif
93,iyikide almışız dediğiniz bı urun ,pozitif
94, Memnunuz güzel ,pozitif
95," ben çok memnunum. işlemcisi yeterli, hızlı pratik. ",pozitif
96," Fiyatı uygunken aldım, ihtiyacı karşılar ",pozitif
97, Çok memnunuz 2 günde ,pozitif
98, Üründen memnun kaldık gayet hızlı ,pozitif
99, şimdilik sorunsuz gayet güzel ,pozitif
100, guzel hafif sık bir bilgisayar ,pozitif
101, Kaliteli biraz kg bazında azğır ,pozitif
102, Çok çabuk geldi. Günlük kullanım için gayet iyi bir bilgisayar alabilirsiniz. ,pozitif
103, Sınıfta kullanmak için aldım.Benim için yeterli.Oldukca hızlı ,pozitif
104," guzel ürün, memnun kaldım ",pozitif
105, Fiyatına göre iyi performans ...Şirkette 3 adet var ...sıkıntısız ,pozitif
106, biraz kullandıktan sonra yorum yapmak istedim ürün güzel kullanışlıancak şarjı uzun sürmüyor ,nötr
107, kamerası inanılmaz kötü mecbur kaldığım için aldım fırsatını bulsamdüşünmeden iade ederdim ,negatif
108," Bilgisayar gayet ideal. Amaca yönelik almak lazım benim gibi günlükisler, dizi film izlemek için alıyorsanız fazlasıyla yeterli olacaktır.Ancak eğer işiniz bilgisayar ile ise yetmez. Tek eleştirim görüntükalitesi çok iyi değil, sıcaklığı düşük geldi biraz. Ayarı varsa da ben bulamadım. ",nötr
109, güzel 3 4 saat aralıksız kullana bildim ,pozitif
110," Digital dünya bu satıcıdan uzak durun bizi madur etti sizdeolmayın,yanlış fiyatlandırma yapmış diye aldığımız ürünü göndermedi ",negatif
111, 2 hafta olmadı ama şarjı sürekli bitiyor ve sorunlu alırken 2 kere düşünün ,negatif
112, Gayet güzel paketlenmiş orijinal windows yüklü ,pozitif
113, güzel bir ürün.indirim olunca aldık.kargoda herhangi bir sıkıntıda yaşamadık.teşekkürler. ,pozitif
114, Şarjının çok çabuk bitmesi dışında bir sıkıntısı yok. Çok çabuk elime geçti. ,nötr
115, ürün elime ulaştı ama fatura gönderilmedi faturamın gönderilmesini istiyorum ,nötr
116, Pil ömrü 2 saat falan ve leptobun her yerinde parmak izi kalıyorkamerası çok kötü. Paketleme çok çok iyiydi o konuda teşekkür ederim. ,negatif
117, Ürünü aldım aldıgım gunden itibaren touchpad bozuk arıyorum yetkılılerıservısı arayın dıyolar daha 1 aylık urun ne servısıne gıdecek tavsıyeetmiyorum ilgi sıfır urun garantısı sıfır,negatif
118,Ürün gayet başarılı takılma vesaire sorunu yok.Benim gibi muhasebeprogramları kullanıp arada sırada oyun oynayan birisi için gayetyeterli. Casper’ a teşekkür ediyorum ,pozitif
119, bilgisayari yeni teslim aldim windows 11 home kurdum hoporlorundecizirti geliyor verdigimiz paraya degmedi ,negatif
120, Fiyat performans ürünü oğluma aldım çok beğendi ,pozitif
121, Bu fiyata gayeti iyi alın aldırın ofis programları ve az da olsa oyunoynarım diyorsanız gayet iyi fiyat performans. gta 5- valorant gibioyunları rahat oynuyorum çok yüksek kaliteye ihtiyacım yok kaldırsındonmasın kasmasın derseniz alınabilir çok memnunum her işimihallediyorum zarif güzel bi tasarımı var ,pozitif
122, mükemmel cihaz mükemmel performans ,pozitif
123, ürün kesinlikle süper tavsiye ederim fiyat performans ürünü ,pozitif
124, alınabilir ekonomik fiyat performans güzel bir ürün ,pozitif
125, harika bir ürün ,pozitif
126, Çok iyi. Gayet güzel.. ,pozitif
127, tam f-p ürünü hatta bu fiyata ürün fazla bile geliyor :)  ayrıcainanılmaz zarif ve hafif tavsiye ederim ,pozitif
128, teşekkür ederim ,pozitif
129, Fiyatına göre fiyatı gayet ideal ,pozitif
130, 14 bin liraya almıştım fiyatına göre özellikleri gayet iyi fazla bileşuan hiçbir sıkıntı yok gayet güzel ama eğer oyun fln için laptopalacaksanız tavsiye etmem oyunlarda kasıp genelde ben o amaçlakullanmadığım için bi sıkıntım olmadı tek puan kırdığım şey klavyeışığının olmaması onun dışında alınır ,pozitif
131, Ekran ips yazıyor ama gerçek ips değil masmavi ekran ,nötr
132, Bu PC aldığım fiyatına göre bence özellik bakımından iyi ama kasası çokhassas sırtçantamda taşırken şarj aletiyle beraber koymuştum az bir şeyezmiş alırsanız çok ama çok dikkatli olun güzel bir çanta alın ve birkısma sadece PC yi koyun bende oldu sizde olmasın ,pozitif
133, pili hızlı bitiyor bu beni üzdü açıkçası kalan sürede atıyorum 7 saatlikpil kaldı diyo ama 2 saatte fln bitiyo pili. ilk kullanimdan dolayı mıböyle oluyo acaba bilen arkadaşlar varsa beni de bilgilendirebilirlersesevinirim pilden başka bı sorun daha var kasiyo arasıra kasiyo olsadayoksayamam açıkçası bu özellikte bir cihazın roket gibi olmasınıbeklerdik Win fln kurduğum için iade etmiyorum ,negatif
134, Hoparlörden cızırtı geliyor ,negatif
135, paketleme iyiydi kullanımında güzel beklediğim gibi ,pozitif
136, Ürün çok kısa sürede elime geçti. Öncelikle bunun için teşekkür ederim.Yorum yapmak için kurulumunun yapılmasını bekledim. Ürün gerçekten fiyatperformans ürünü. Gönül rahatlığı ile tercih edebilirsiniz. ,pozitif
137," kargo biraz gecikti, ama paketlenmesi iyiydi. 2 kutuya koymuşlar,sorunsuz geldi. çok şık bir kasası var. kullandıkça yorumu güncellerim. ",pozitif
138, Bilgisayar güzel görünüyor ama ben Windows 11 i kurdum açtım sesinikontrol ettim ses gıcırtılı geliyor ayriyetten sözde çift hoparlör varama ses çok az geliyor muhtemelen bir sorun var hoparlörde satıcıya daulaşamadım napacam bilmiyorum ,negatif
139, Bilgisayarı aldıktan kısa bir süre sonra arızalanması sebebiyle serviseverdim. Casper Müşteri Hizmetleri sorunun çözümü için çok ılımlıyaklaştı. Ürünün iadesi alındı. Bizi mağdur etmedikleri için teşekkür ediyorum. ,negatif
140, Ürün elime ulaştı ama hoparloru çalışmıyor muhattap bulamadım yardımcı olurmusunuz ,negatif
141, Kasasında tornavida izleri var win kurulumu yaptığım için iade etmiyorumolası bi sorun yaşarsam yorumu güncelleyeceğim Önermiyorum başka dabişey demeye gerek yok,negatif
142,03.09.2024: Bu üründen 3 adet aldım işlemci güçlü bir işlemci tavsiye edilir. ,pozitif
143, 26.08.2024: Ürün elime ulaştı sağlam geldi sıkıntısız sorunsuz ama bi türlü İşletim sistemi kuramadım ,pozitif
144, 01.07.2024: driver flashbellek yok çanta yok fare yok laptop renk harika baya hızlı çok sevdim kargo çoooo hızlı ,pozitif
145, 26.06.2024: iyi fiyat güzel ürün,pozitif
146,cok hizli geldi ve saglam kargolanmisti ,pozitif
147, Bir kaç saatte fiyatının değişmesi harici gayet iyi paketlenmiş başarılıbir teslimat oldu ,pozitif
148, Harika çok beğendim ,pozitif
149, Bu fiyata bulmak güzeldi kalitesi tartışılmaz ,pozitif
150, macbook denince akla gelen... ,pozitif
151, Bılgısayar sorunsuz elıme ulastı tesekkurler ,pozitif
152, bebek gibi cok guzel bir bilgisayar iki ay once otuz bine almistim suanki fiyati cok sasirtti ,pozitif
153," Günlerce yorumları takip ettiğim 3 yıldır da hayalimdi😍 WindowstanmacOs' a geçsem nasıl olur? zorlanır mıyım? hep soru işareti oldu amabir heyecanla aldım. Ama var yaaaaaa.... iyi ki ama iyi ki almışım♥️♥️♥️♥️♥️Bayıldım😍😍 Kullanımı çok kolay ve gerçekten kullanıcıdostu,effektif, görsel şölen,ses, kamera, her şeyin hareketli olması...Efsane🥰🥰 Satın alma sebebim yazılım geliştiriciyim bu yüzden. Ve 6 ayboyunca peşin fiyatına taksitte üzerine tatlı niyetine oldu👍👍👍Alma dakararsız olanlar için bu kadar detaylı yazdım🤗☺️Almanızı tavsiyeediyorum.👍☺️ Darısı başınıza diyorum 😀💯 ",pozitif
154, çok güzel sorunsuz geldi ,pozitif
155, Harika ürün. Anlatmaya gerek yok zaten. Trendyol farkı… ,pozitif
156," Kargo süresi normaldi, cihazı alacaklara kesinlikle tavsiye ederimiçiniz rahat alın kullanıj ",pozitif
157, Çok güzel ürün güvenli alışveriş ,pozitif
158, kesinlikle tavsiye ediyorum ,pozitif
159, Very good umarim it will be keep being good ,pozitif
160, yorum yapmaya gerek yok :)) ,pozitif
161, Süper makine👌✔️ ,pozitif
162, teşekkür ederim ,pozitif
163, Teşekkür ederim ,pozitif
164, ürün gayet güzel alınabilirürün gayet güzel alınabilir ,pozitif
165, Çok güzellll ,pozitif
166, sorunsuz geldi piyasanın altında bi fiyat teşekkürler trendyol :) ,pozitif
167," Ürün sorunsuz, çok güzel paketli ve hızlı bir biçimde ulaştı elime.Sorunsuz da çalışıyor. Teşekkürler. ",pozitif
168, Çok hızlı elime ulaştı. Garantisini apple arayarak başlattım. Ürün çok güzel ,pozitif
169, cok guzel tesekkurler ,pozitif
170, Çok güzel. ,pozitif
171, Hak ediyor. Touch bar harika bir detay ,pozitif
172, Memnun kaldık ,pozitif
173, Hızlı kargo ,pozitif
174, harika süper tek kelimeyle. ,pozitif
175, süper süper süper ,pozitif
176, Apple kalitesi ,pozitif
177," 1 günde geldi süper, satıcı çok ilgiliydi teşekkürler 💖 ",pozitif
178, trendyoldan bardak bile alırken şüphelenirim kırık gelir mi diye amahiçbir sıkıntı çıkmadı gayet sağlam geldi içinden garanti belgesiçıkmadı appleı aradık ve teyit ettik garantisi başlamış mı diye vebaşlamıştı fiyatını normale göre gerçekten çok uyguna aldım herkesetavsiye ederim windowstan sonra biraz garip geliyor kullanırken ama 2hafta sonra kullanmaya alışmıştım ,pozitif
179, Urun orijinaldi. Apple destek’le goruserek garanti suresini baslattim.Tesekkurler Trendyol ,pozitif
180, Üründen gayet memnun kaldım sadece içime kuşku düşüren şey TürkiyeGarantili olup olmaması eğer değilse çok pişman olurum param çöpe gitmişolur  Onun dışında herşey okey içime sırf bu yüzden olur ya hani yansanayi mi orjinal mi değil mi kuşkusu bile düştü En kısa zamanda Troyagidip kontrol ettiricem ürünü içim öyle rahatlıyacak yani emin olarakbilen kişiler tarafından Umuyorum ki orijinaldir ve 2 yıl TürkiyeGarantilidir çünkü asla garantisi içinde yoktu bu yüzden bu yazıyıyazdım.. Media Markt Teknosa Vatan gibi mağazalarda ürün 50 bin bandındaburda 36 bandına almak en çok bu insanın içinde huzursuzluk yaratıyorneden yani diyor insan  ilgili kişi dönüş yaparsa eğer çok sevinirim iyigünler iyi çalışmalar ,nötr
181, İyi çok hızlı ,pozitif
182, Hep kaliteli 👍 ,pozitif
183, çok memnunum fiyatı sa performansı da çok iyi ,pozitif
184, ürün çok iyi başarılı ,pozitif
185, Şahane bişey ,pozitif
186, Ürün çok güzel. Fakat içerisinden garanti belgesi ve fatura çıkmadı.Fatura ve Garanti Belgesi için puan kırdım. Perşembe günü akşam siparişverdim. Hızlı bi şekilde tarafıma ulaştı. ,pozitif
187, Hızlı Kargo için teşekkürler. ,pozitif
188, kalite yorum istemez macbook pro m2 ,pozitif
189, Hızlı ve güvenli bir alışveriş ,pozitif
190, Güzel beğendik ,pozitif
191, çok güzel bir ürün teşekkürler ,pozitif
192, fiyat performansı ürünü hızlı kargo ,pozitif
193, 512 gbın bu fiyata oldugunu görünce 38.000e her an kutuda sebze/meyveçıkabilir riskini göz önünde bulundurarak aldım. en az 42-47 binbandında normalde olan bi cihaz normalde. ama baya baya 512 gb m2işlemci sıfır garantili macbook pro geldi. helal olsun. cihazı anlatmayagerek yok zaten aldıgım fiyatta bu bilgisayarın kendi kategorisindedengi yok ,pozitif
194," şu da şöyle olsaydı dediğim hiçbirşeyi yok, mikemmel ",pozitif
195," ürün çok hızlı ve çok iyi paketlenmiş olarak geldi. ürünün kalitesihakkında zaten söylenecek söz yok. paketi açmadan apple sitesindenorjinalliğini kontrol ettim ve sorunsuz çıktı 256 GB fiyatına 512 GBalmış olduk, düşünenlere öneririm ",pozitif
196, Ürün çok hızlı kargolandı ve sorunsuz teslim aldım. Orijinalliğindenyana şüphesiz olmasın. Apple sitesinde de sorgulattım. Markanınkalitesini çok net hissediyorsunuz. ,pozitif
197, ürün sağlam bir şekilde geldi zaten bilgisayara diyecek yok ,pozitif
198, çok güzel paketlenmişti ve beklediğimden çok daha hızlı gönderildi 🤌🏻 ,pozitif
199, Apple kalitesi zaten malum ayrıca satıcıya da yanında gönderdiği hediyeve özenli kargo paketi için teşekkür ediyorum… ,pozitif
200, Çok özenli paketleme sağlam bir şekilde teslim aldım çok teşekkür ederim ,pozitif
201, Harika..cuma sipariş verdim pzt si elimdeydi. sorunsuz orijinal lisanliürün.  çekinmeden alabilir siniz. ,pozitif
202, Trendyolman'a ailem kadar güvendiğim için buradan aldım beni yanıltmadı...,pozitif
203,02.09.2024: Tam bir FP ürünü ,pozitif
204," 27.08.2024: Fiyat Performans ürünü, tam bir iş bilgisayarı ve fotoğraftakinden daha şık bir bilgisayar ",pozitif
205, 23.08.2024: tşkler ,pozitif
206, 29.07.2024: Sorunsuz,pozitif
207,ürün gayet hızlı geldi 2 3 gün içerisinde ürünü beğendim estetik duruyorbaya da güzel almak isteyenlere öneririm daha kurulumunu yapmadımkurulum için windows 11 kendiniz kuruyorsunuz Max 1 saat alır okul vebiraz oyun için alınır ,pozitif
208, Çok güzel Gta 5 bile açıyo bu fiyata bedava hemen alın kaçırmayın elegeçmez bu fırsat ,pozitif
209, İş görür kullanışlı ,pozitif
210, ofis işlerimde gayet ideal tavsiye ederim ,pozitif
211, Babama aldık begendı ,pozitif
212, Sınava hazırlanmak için aldım mükemmel fiyatı da gayet piyasaya göre uygun ,pozitif
213, Windows yükledik güzel çok beğendim ,pozitif
214, cok teşekkürler ,pozitif
215, Mükemmel bir cihaz ,pozitif
216, Üniversite için aldım bir hafta oldu. Free dos olduğunu bilerek aldımtanıdığım açıverdi. PowerPoint kullanıyorum genellikle işimi hayli hayligörüyor. Oyun için almadım ama arada Google domuzcuk oynuyorum hahahahafena değil yani şarjı da pil tasarrufu açmadan sanırım 2 saat gidiyorama tasarruf açınca yetiyor 3 4 saat sanırım tam saat bilmiyorum çünküben tasarrufta kullanıyorum yetiyor. Arada film izliyorum geniş vebüyük. kamerası da iyi ,pozitif
217, Anlatıldığı gibi geldi. ,pozitif
218, alacak olanlara oyun için alınmaz ama gündelik işler için güzel birlaptop bugün tam 9 saat dengeli modda YouTube'dan ders izleyip not aldımbi ara çıktım cs 1.6 atıp çocukluk günlerimi yad ettim sessiz ama birazbüyük bir laptop flim video bireysel kullanım için ideal bu kadar şeydensonra hala %20 şarjım vardı bu arada ETS 2 yi en yüksek grafiklerde açıpoynadım giriş seviyesi bir laptop ama iş görür ,pozitif
219, Cok iyi almadan yorumlara baktım pek olumlu değildi ama beğendim ,pozitif
220, memnun kaldim ucuz bir parcaymis gibi gözükmüyor kaliteli tez içinalmıştım öğrenci bilgisayarı onun dışında oyunu kaldırmıyor pubg gibiama basit oyunları oynayabilirisniz tavla okey gibi şarjı  çok uzungitmiyor 3 saat kadar ,pozitif
221, üründen çok memnunum tavsiye ederim. ,pozitif
222," Fıyatına göre çok çık iyi  bir leptop bence ,  üniversite ,  film  ,içinuygun bir leptop ",pozitif
223, evde kullanım için çok iyi ve hızlı ,pozitif
224, çok güzel bir leptop ,pozitif
225, Gayet başarılı bir ürün kardeşime aldım çok beğendik lenova ailesineteşekkür ederiz ☺️🫶 ,pozitif
